listing_id,date
32347,2011-01-05
32347,2011-04-25
32347,2011-09-06
32347,2012-03-28
32347,2012-04-09
32347,2012-04-23
32347,2012-04-28
32347,2012-04-30
32347,2012-05-04
32347,2012-05-24
32347,2012-06-03
32347,2012-09-20
32347,2012-09-23
32347,2013-04-07
32347,2013-06-09
32347,2013-06-17
32347,2013-10-12
32347,2013-10-15
32347,2013-10-24
32347,2013-11-06
32347,2013-11-10
32347,2014-04-21
32347,2014-05-04
32347,2014-05-14
32347,2014-10-07
32347,2014-10-14
32347,2014-10-27
32347,2014-11-24
32347,2014-12-09
32347,2015-01-02
32347,2015-02-22
32347,2015-04-08
32347,2015-04-24
32347,2015-04-27
32347,2015-05-12
32347,2015-05-19
32347,2015-10-05
32347,2015-10-11
32347,2015-10-16
32347,2015-10-18
32347,2015-10-24
32347,2015-10-27
32347,2015-12-07
32347,2015-12-15
32347,2016-01-02
32347,2016-03-20
32347,2016-03-30
32347,2016-04-16
32347,2016-04-19
32347,2016-04-25
32347,2016-04-30
32347,2016-05-13
32347,2016-05-18
32347,2016-05-29
32347,2016-06-09
32347,2016-06-21
32347,2016-06-30
32347,2016-09-12
32347,2016-09-19
32347,2016-09-24
32347,2016-10-03
32347,2016-10-09
32347,2016-10-11
32347,2016-10-15
32347,2016-10-22
32347,2016-11-02
32347,2016-11-07
32347,2017-01-14
32347,2017-02-19
32347,2017-03-22
32347,2017-03-31
32347,2017-04-06
32347,2017-04-22
32347,2017-05-01
32347,2017-05-05
32347,2017-05-08
32347,2017-05-13
32347,2017-05-22
32347,2017-07-14
32347,2017-09-18
32347,2017-09-23
32347,2017-09-25
32347,2017-10-01
32347,2017-10-05
32347,2017-10-08
32347,2017-10-12
32347,2017-10-17
32347,2017-10-24
32347,2017-10-26
32347,2017-10-29
32347,2017-11-01
32347,2017-11-04
32347,2017-11-06
32347,2017-11-26
32347,2018-01-04
32347,2018-02-18
32347,2018-02-26
32347,2018-03-11
32347,2018-03-27
32347,2018-04-10
32347,2018-04-14
32347,2018-05-03
32347,2018-05-11
32347,2018-05-17
32347,2018-05-20
32347,2018-05-28
32347,2018-08-31
32347,2018-09-05
32347,2018-09-20
32347,2018-09-23
32347,2018-09-29
32347,2018-10-10
32347,2018-10-17
32347,2018-10-22
32347,2018-10-26
32347,2018-11-02
32347,2018-11-04
32347,2018-11-06
32347,2018-11-17
32347,2018-12-09
32347,2019-01-02
32347,2019-02-23
32347,2019-03-09
32347,2019-03-14
32347,2019-03-19
32347,2019-03-24
32347,2019-03-30
32347,2019-04-20
32347,2019-04-24
32347,2019-04-27
32347,2019-05-12
32347,2019-05-18
32347,2019-05-21
32347,2019-05-24
32347,2019-05-29
32347,2019-05-31
32347,2019-06-04
32347,2019-06-07
32347,2019-06-09
32347,2019-06-12
32347,2019-06-14
32347,2019-06-18
32347,2019-06-29
32347,2019-07-01
32347,2019-07-07
32347,2019-07-20
32347,2019-07-22
32347,2019-07-30
32347,2019-08-27
32347,2019-08-31
32347,2019-09-16
32347,2019-09-23
32347,2019-09-26
32347,2019-09-29
32347,2019-10-06
32347,2019-11-03
32347,2019-11-13
32347,2019-11-19
32347,2019-11-24
32347,2019-12-02
32347,2019-12-10
32347,2019-12-20
32347,2019-12-22
32347,2019-12-27
32347,2019-12-31
32347,2020-01-03
32347,2020-01-08
49287,2011-02-27
49287,2011-05-13
49287,2012-03-17
49287,2013-01-03
49287,2013-04-02
49287,2015-05-12
49287,2015-06-09
49287,2015-10-01
49287,2016-05-22
49287,2016-08-13
49287,2016-09-17
49287,2016-10-23
49287,2017-03-31
49287,2017-05-27
49287,2018-02-17
49287,2018-03-27
49287,2018-11-13
49287,2018-11-20
49287,2018-11-27
49287,2018-12-03
49287,2019-01-01
49287,2019-01-14
49287,2019-01-22
49287,2019-01-30
49287,2019-02-08
49287,2019-02-11
49287,2019-02-16
49287,2019-02-21
49287,2019-03-30
49287,2019-05-07
49287,2019-06-15
49287,2019-07-18
49287,2019-08-05
49287,2019-08-09
49287,2019-08-18
49287,2019-12-16
49287,2020-01-19
49287,2020-01-24
49287,2020-02-17
108236,2011-05-17
108236,2011-06-11
108236,2011-06-14
108236,2011-06-24
108236,2011-06-28
108236,2011-07-02
108236,2011-07-12
108236,2011-08-18
108236,2011-10-06
108236,2011-10-16
108236,2011-10-21
108236,2011-10-28
108236,2011-11-03
108236,2011-11-16
108236,2011-11-22
108236,2011-12-07
108236,2012-01-06
108236,2012-01-27
108236,2012-02-07
108236,2012-02-07
108236,2012-05-20
108236,2012-05-26
108236,2012-06-06
108236,2012-06-10
108236,2012-06-20
108236,2012-07-01
108236,2012-07-07
108236,2012-07-13
108236,2012-07-16
108236,2012-07-28
108236,2012-08-04
108236,2012-08-09
108236,2012-08-13
108236,2012-08-22
108236,2012-09-04
108236,2012-09-08
108236,2012-09-11
108236,2012-09-17
108236,2012-09-27
108236,2012-10-02
108236,2012-11-08
108236,2012-11-23
108236,2012-12-20
108236,2013-01-01
108236,2013-01-06
108236,2013-02-28
108236,2013-03-12
108236,2013-03-19
108236,2013-03-24
108236,2013-04-08
108236,2013-04-15
108236,2013-04-22
108236,2013-04-30
108236,2013-05-03
108236,2013-05-07
108236,2013-05-14
108236,2013-05-23
108236,2013-06-11
108236,2013-06-18
108236,2013-07-03
108236,2013-07-16
108236,2013-07-22
108236,2013-07-26
108236,2013-08-03
108236,2013-08-12
108236,2013-08-16
108236,2013-08-24
108236,2013-09-01
108236,2013-09-15
108236,2013-09-22
108236,2013-09-28
108236,2013-10-06
108236,2014-01-04
108236,2014-04-17
108236,2014-04-21
108236,2014-04-30
108236,2014-05-06
108236,2014-07-04
108236,2014-08-07
108236,2014-08-18
108236,2014-08-28
108236,2014-09-09
108236,2014-09-17
108236,2014-09-22
108236,2014-09-26
108236,2014-10-02
108236,2014-10-06
108236,2015-04-08
108236,2015-04-14
108236,2015-04-24
108236,2015-04-27
108236,2015-05-04
108236,2015-05-10
108236,2015-05-16
108236,2015-05-19
108236,2015-07-07
108236,2015-07-19
108236,2015-07-28
108236,2015-08-05
108236,2015-08-12
108236,2015-08-21
108236,2015-09-28
108236,2015-09-30
108236,2015-10-03
108236,2015-10-11
108236,2015-10-20
108236,2015-10-26
108236,2015-12-08
108236,2016-01-05
108236,2016-02-24
108236,2016-03-24
108236,2016-04-02
108236,2016-04-11
108236,2016-04-17
108236,2016-05-16
108236,2016-05-23
108236,2016-06-04
108236,2016-06-07
108236,2016-06-20
108236,2016-07-22
108236,2016-07-25
108236,2016-08-15
108236,2016-09-12
108236,2016-09-16
108236,2016-09-18
108236,2016-09-25
108236,2016-09-28
108236,2016-10-05
108236,2016-10-10
108236,2016-10-16
108236,2016-10-23
108236,2016-10-26
108236,2016-11-02
108236,2016-11-07
108236,2016-12-31
108236,2018-02-17
108236,2018-02-18
108236,2019-01-03
108236,2019-01-04
108236,2019-05-28
108236,2019-09-27
108236,2019-10-08
108236,2019-10-12
108236,2019-10-20
108236,2019-11-04
108236,2019-12-14
108236,2019-12-28
108236,2020-01-02
108236,2020-01-30
108236,2020-02-24
108236,2021-06-21
108236,2021-07-06
108236,2021-10-25
108236,2021-11-02
108236,2021-11-11
108236,2021-11-14
108236,2022-04-18
108236,2022-05-31
108236,2022-06-07
108236,2022-09-19
108236,2022-10-19
108236,2022-10-25
108236,2022-11-01
108236,2022-11-08
108236,2022-12-01
108236,2023-01-20
108236,2023-03-03
108236,2023-03-11
108236,2023-03-15
108236,2023-03-22
108236,2023-03-27
108236,2023-04-08
108236,2023-04-15
108236,2023-05-06
108236,2023-05-13
108236,2023-05-21
108236,2023-06-01
108236,2023-06-06
108236,2023-06-11
108236,2023-07-31
108236,2023-08-22
108236,2023-09-06
108236,2023-10-07
108236,2023-10-09
108236,2023-10-15
108236,2023-10-22
108236,2023-12-28
108236,2024-01-28
108236,2024-03-01
108236,2024-04-05
108236,2024-04-19
108236,2024-04-25
108236,2024-05-08
108236,2024-05-12
108236,2024-05-19
108236,2024-05-30
108236,2024-06-11
108236,2024-10-05
108236,2024-10-20
108236,2024-10-24
108236,2024-10-31
108236,2024-12-01
108236,2024-12-11
111140,2011-05-27
111140,2011-06-01
111140,2011-06-12
111140,2012-08-26
727034,2013-09-24
727034,2013-10-01
727034,2013-10-14
727034,2013-11-11
727034,2013-11-18
727034,2013-11-25
727034,2013-12-21
727034,2014-01-10
727034,2014-01-21
727034,2014-03-18
727034,2014-03-22
727034,2014-03-26
727034,2014-06-09
727034,2014-07-03
727034,2014-07-11
727034,2014-08-13
727034,2014-08-21
727034,2014-08-28
727034,2014-08-31
727034,2014-09-19
727034,2014-09-22
727034,2014-10-07
727034,2014-10-08
727034,2014-11-06
727034,2014-11-18
727034,2014-11-21
727034,2014-11-26
727034,2014-12-03
727034,2015-02-16
727034,2015-03-01
727034,2015-04-22
727034,2015-05-08
727034,2015-05-20
727034,2015-06-03
727034,2015-06-09
727034,2015-06-13
727034,2015-06-27
727034,2015-07-23
727034,2015-07-28
727034,2015-08-01
727034,2015-08-11
727034,2015-08-22
727034,2015-08-24
727034,2015-09-29
727034,2015-11-03
727034,2015-11-10
727034,2015-11-15
727034,2015-12-29
727034,2016-02-09
727034,2016-02-22
727034,2016-03-15
727034,2016-04-13
727034,2016-04-19
727034,2016-04-26
727034,2016-05-04
727034,2016-05-21
727034,2016-05-28
727034,2016-06-08
727034,2016-06-12
727034,2016-06-13
727034,2016-06-24
727034,2016-06-29
727034,2016-07-19
727034,2016-07-27
727034,2016-08-02
727034,2016-08-03
727034,2016-08-07
727034,2016-08-12
727034,2016-10-06
727034,2016-10-26
727034,2016-11-08
727034,2016-11-14
727034,2016-12-11
727034,2016-12-27
727034,2017-01-02
727034,2017-01-29
727034,2017-02-02
727034,2017-02-22
727034,2017-02-26
727034,2017-04-11
727034,2017-04-13
727034,2017-04-18
727034,2017-04-20
727034,2017-06-08
727034,2017-06-16
727034,2017-06-24
727034,2017-06-30
727034,2017-08-04
727034,2017-08-16
727034,2017-08-22
727034,2017-08-26
727034,2017-10-03
727034,2017-10-29
727034,2017-11-26
727034,2017-12-13
727034,2017-12-18
727034,2018-01-06
727034,2018-01-14
727034,2018-01-23
727034,2018-01-28
727034,2018-02-13
