id_terraza;id_local;id_distrito_local;desc_distrito_local;id_barrio_local;desc_barrio_local;id_ndp_edificio;id_clase_ndp_edificio;id_vial_edificio;clase_vial_edificio;desc_vial_edificio;nom_edificio;num_edificio;cal_edificio;ref_catastral;Cod_Postal;coordenada_x_local;coordenada_y_local;id_tipo_acceso_local;desc_tipo_acceso_local;id_situacion_local;desc_situacion_local;secuencial_local_PC;Escalera;id_planta_agrupado;id_local_agrupado;coordenada_x_agrupacion;coordenada_y_agrupacion;rotulo;id_periodo_terraza;desc_periodo_terraza;id_situacion_terraza;desc_situacion_terraza;Superficie_ES;Superficie_RA;Fecha_confir_ult_decreto_resol;id_ndp_terraza;id_clase_ndp_terraza;id_vial;desc_clase;desc_nombre;nom_terraza;num_terraza;cal_terraza;desc_ubicacion_terraza;hora_ini_LJ_es;hora_fin_LJ_es;hora_ini_LJ_ra;hora_fin_LJ_ra;hora_ini_VS_es;hora_fin_VS_es;hora_ini_VS_ra;hora_fin_VS_ra;mesas_aux_es;mesas_aux_ra;mesas_es;mesas_ra;sillas_es;sillas_ra;mesas_altas_estacional;mesas_altas_anual;anclaje;apilamiento;ambito_ordenacion_cod;ambito_ordenacion_desc;denominacion_cod;denominacion_desc;fecha_acuerdo_delimitacion;tipo_suelo_cod;tipo_suelo_desc;separadores_moviles_menor_estacional;separadores_moviles_mayor_estacional;auxiliares_informacion_es;elem_jard_menor_estacional;elem_jard_mayor_estacional;sombrillas_es;otros_es_mobiliario;separadores_moviles_menor_anual;separadores_moviles_mayor_anual;auxiliares_informacion_ra;elem_jard_menor_anual;elem_jard_mayor_anual;sombrillas_ra;otros_ra_mobiliario;construccion_ligera_fachada_es;construccion_ligera_bordillo_es;tarima_pavimento_es;toldos_pavimento_es;sombrillas_pavimento_es;elem_separacion_menor_estacional;elem_separacion_mayor_estacional;elem_aux_apoyo_es;construccion_ligera_fachada_ra;construccion_ligera_bordillo_ra;tarima_pavimento_ra;toldos_pavimento_ra;sombrillas_pavimento_ra;elem_separacion_menor_anual;elem_separacion_mayor_anual;elem_aux_apoyo_ra;estufas_gas_es;estufas_electricas_es;aparatos_clima_es;nebulizadores_es;iluminacion_es;otros_es_elem_ind;estufas_gas_ra;estufas_electricas_ra;aparatos_clima_ra;nebulizadores_ra;iluminacion_ra;otros_ra_elem_ind;sonometro_estacional;sonometro_anual;placas_fotovoltaicas_estacional;placas_fotovoltaicas_anual;fx_carga
"5486";"270525870";16;"HORTALEZA           ";1606;"VALDEFUENTES        ";"31012133";1;31000083;"CALLE                   ";"CARDENAL TAVERA                                   ";"NUM";"000002";"  ";"4231801VK4843A0029EU";28050;444167.62;4482906.5;"1";"Puerta Calle";"1";"Abierto";50;;"1";"05";;;"LA BARRICA";"2";"Estacional";"1";"Abierta";70.00;;"2017-01-23 13:53:48.787";"31017510";1;31000089;"CALLE                   ";"PRINCIPE CARLOS                                   ";"NUM";"000031";"  ";"Acera";"10:00:00";"01:00:00";;;"10:00:00";"01:30:00";;;0;0;24;0;78;0;;;"false";"true";;;;;;1;"Suelo publico";0;;0;0;;6;"false";0;;0;0;;0;;"false";"false";"false";0;0;0;;0;;;;0;0;0;;0;0;0;0;0;0;"false";0;0;0;;;;;;;;"2025-04-25 03:30:58.775215"
"5487";"270536007";16;"HORTALEZA           ";1606;"VALDEFUENTES        ";"31011002";1;31000119;"CALLE                   ";"ALCALDE CONDE DE MIRASOL                          ";"NUM";"000006";" A";"4922602VK4482D0089YO";28050;444841.62;4482083.5;"1";"Puerta Calle";"1";"Abierto";10;;"1";"01";;;"DONER KEBAB";"1";"Anual";"1";"Abierta";41.00;41.00;"2017-01-23 13:53:49.223";"31047004";1;31000089;"CALLE                   ";"PRINCIPE CARLOS                                   ";"NUM";"000020";"  ";"Acera";"10:00:00";"01:00:00";"10:00:00";"00:00:00";"10:00:00";"02:30:00";"10:00:00";"00:00:00";0;0;10;10;40;40;;;"false";"false";;;;;;1;"Suelo publico";0;;0;0;;1;"false";0;;0;0;;1;"false";"false";"false";"false";1;0;0;;0;"false";"false";"false";1;0;0;;0;0;0;0;0;0;"false";0;0;0;0;0;"false";;;;;"2025-04-25 03:30:58.775215"
"5489";"270516634";16;"HORTALEZA           ";1603;"CANILLAS            ";"20065740";1;722500;"CALLE                   ";"SILVANO                                           ";"NUM";"000077";"  ";"";28043;446098.6;4479332.5;"0";"Agrupado";"4";"Cerrado";0;"";"2";"A9";446103.6;4479330.5;"SUMO";"1";"Anual";"1";"Abierta";47.15;47.15;"2017-01-23 13:53:49.553";"20065740";1;722500;"CALLE                   ";"SILVANO                                           ";"NUM";"000077";"  ";"Acera";"10:00:00";"01:00:00";"10:00:00";"00:00:00";"10:00:00";"02:30:00";"10:00:00";"00:00:00";0;0;9;0;36;0;;;"false";"false";;;;;;1;"Suelo publico";0;;0;0;;0;"false";0;;0;0;;0;"false";"false";"false";"false";0;0;0;;0;"false";"false";"false";0;0;0;;0;0;0;0;0;0;"false";0;0;0;0;0;"false";;;;;"2025-04-25 03:30:58.775215"
"5495";"270536433";16;"HORTALEZA           ";1605;"APOSTOL SANTIAGO    ";"11121241";1;118450;"CALLE                   ";"BURGO DE OSMA                                     ";"NUM";"000006";"  ";"4002407VK4840C0002TX";28033;443880.6;4480058.5;"1";"Puerta Calle";"1";"Abierto";30;;"1";"05";;;"CAFETERIA EL ALAMO";"1";"Anual";"1";"Abierta";33.00;33.00;"2017-01-23 13:53:51.207";"11121241";1;118450;"CALLE                   ";"BURGO DE OSMA                                     ";"NUM";"000006";"  ";"Acera";"10:00:00";"01:00:00";"10:00:00";"00:00:00";"10:00:00";"02:30:00";"10:00:00";"00:00:00";0;0;14;14;64;64;;;"false";"false";;;;;;1;"Suelo publico";0;;0;0;;0;"false";0;;0;0;;0;"false";"false";"false";"false";0;0;0;;0;"false";"false";"false";0;0;0;;0;0;0;0;0;1;"false";0;0;0;0;1;"false";;;;;"2025-04-25 03:30:58.453598"
"5496";"270537101";16;"HORTALEZA           ";1602;"PIOVERA             ";"20102115";1;859;"AVENIDA                 ";"MACHUPICHU                                        ";"NUM";"000016";" C";"7189401VK4778G0151SI";28043;447053.6;4478735.5;"1";"Puerta Calle";"1";"Abierto";40;;"1";"22";;;"LA PIZZA + SANA";"2";"Estacional";"1";"Abierta";40.50;;"2017-01-23 13:53:51.443";"20065590";1;859;"AVENIDA                 ";"MACHUPICHU                                        ";"NUM";"000016";"  ";"Acera";"10:00:00";"01:00:00";;;"10:00:00";"02:30:00";;;0;0;15;0;45;0;0;;"false";"false";;;;;;1;"Suelo publico";0;0;0;0;0;1;"false";0;;0;0;;0;;"false";"false";"false";0;0;0;0;0;;;;0;0;0;;0;0;0;0;0;0;"false";0;0;0;;;;0;;0;;"2025-04-25 03:30:58.775215"
"5497";"270537366";16;"HORTALEZA           ";1603;"CANILLAS            ";"11116878";1;133455;"CARRETERA               ";"CANILLAS                                          ";"NUM";"000134";"  ";"5897301VK4759H0436BE";28043;0.0;0.0;"0";"Agrupado";"1";"Abierto";0;"";"1";"E24C";0.0;0.0;"EL CONDE";"2";"Estacional";"1";"Abierta";26.42;;"2017-01-23 13:53:51.91";"11116880";1;133455;"CARRETERA               ";"CANILLAS                                          ";"NUM";"000138";"  ";"Acera";"10:00:00";"01:00:00";;;"10:00:00";"02:30:00";;;0;0;12;0;48;0;0;;"false";"false";;;;;;1;"Suelo publico";0;0;0;0;0;0;"false";0;;0;0;;0;;"false";"false";"false";0;0;0;0;0;;;;0;0;0;;0;0;0;0;0;0;"false";0;0;0;;;;0;;0;;"2025-04-25 03:30:58.453598"
"5498";"270537400";16;"HORTALEZA           ";1604;"PINAR DEL REY       ";"20096231";1;137100;"CALLE                   ";"MANUEL CHAVES NOGALES                             ";"NUM";"000011";" F";"4610601VK4841B0110DG";28033;444611.6;4480832.5;"1";"Puerta Calle";"1";"Abierto";10;;"1";"02";;;"CAFETERIA OSCAR HNOS RESTAURANTE";"1";"Anual";"1";"Abierta";11.70;11.70;"2017-01-23 13:53:52.067";"20096219";1;137100;"CALLE                   ";"MANUEL CHAVES NOGALES                             ";"NUM";"000011";" B";"Acera";"10:00:00";"01:00:00";"10:00:00";"00:00:00";"10:00:00";"02:30:00";"10:00:00";"00:00:00";0;0;5;5;15;15;0;0;"false";"false";;;;;;1;"Suelo publico";0;0;0;0;0;0;"false";0;0;0;0;0;0;"false";"false";"false";"false";1;0;0;0;0;"false";"false";"false";1;0;0;0;0;0;0;0;0;0;"false";0;0;0;0;0;"false";0;0;0;0;"2025-04-25 03:30:58.775215"
"5503";"270543793";16;"HORTALEZA           ";1606;"VALDEFUENTES        ";"31003892";1;31000095;"CALLE                   ";"ARCHIDUQUE ALBERTO                                ";"NUM";"000021";"  ";"4529401VK4843B0006BX";28050;444432.62;4482771.5;"1";"Puerta Calle";"1";"Abierto";20;;"1";"06";;;"TELEPIZZA";"2";"Estacional";"1";"Abierta";19.42;;"2017-01-23 13:53:53.503";"31003890";1;31000095;"CALLE                   ";"ARCHIDUQUE ALBERTO                                ";"NUM";"000017";"  ";"Acera";"10:00:00";"01:00:00";;;"10:00:00";"02:30:00";;;0;0;6;0;24;0;;;"false";"false";;;;;;1;"Suelo publico";0;;0;0;;0;"false";0;;0;0;;0;;"false";"false";"false";0;0;0;;0;;;;0;0;0;;0;0;0;0;0;0;"false";0;0;0;;;;;;;;"2025-04-25 03:30:58.775215"
"5505";"280069263";16;"HORTALEZA           ";1603;"CANILLAS            ";"11116878";1;133455;"CARRETERA               ";"CANILLAS                                          ";"NUM";"000134";"  ";"";28043;0.0;0.0;"0";"Agrupado";"1";"Abierto";0;"";"1";"E10C";0.0;0.0;"THE MEX";"1";"Anual";"1";"Abierta";57.03;39.54;"2017-01-23 13:53:53.91";"11116880";1;133455;"CARRETERA               ";"CANILLAS                                          ";"NUM";"000138";"  ";"Acera";"10:00:00";"01:00:00";"10:00:00";"00:00:00";"10:00:00";"02:30:00";"10:00:00";"00:00:00";0;0;22;16;61;48;0;0;"false";"true";;;;;;1;"Suelo publico";0;0;0;0;0;2;"false";0;0;0;0;0;0;"false";"false";"true";"true";0;0;0;0;0;"false";"true";"true";0;0;0;0;0;0;8;0;0;1;"false";0;8;0;0;1;"false";0;0;0;0;"2025-04-25 03:30:58.453598"
"5506";"280069455";16;"HORTALEZA           ";1603;"CANILLAS            ";"11117561";1;133455;"CARRETERA               ";"CANILLAS                                          ";"NUM";"000027";"  ";"5096807VK4759E0002QI";28043;444934.6;4479370.5;"1";"Puerta Calle";"1";"Abierto";20;;"1";"04";;;"LA CAFETERIA";"1";"Anual";"1";"Abierta";80.99;33.02;"2017-01-23 13:53:54.177";"11117561";1;133455;"CARRETERA               ";"CANILLAS                                          ";"NUM";"000027";"  ";"Otros";"08:00:00";"01:30:00";"08:00:00";"01:00:00";"08:00:00";"01:30:00";"08:00:00";"01:00:00";0;0;24;12;63;38;;;"false";"false";;;;;;1;"Suelo publico";0;;0;0;;6;"false";0;;0;0;;0;"false";"false";"false";"false";1;0;0;;0;"false";"false";"false";1;0;0;;0;0;6;0;1;1;"false";0;6;0;1;1;"false";;;;;"2025-04-25 03:30:58.453598"
"5512";"280070102";16;"HORTALEZA           ";1602;"PIOVERA             ";"20065602";1;859;"AVENIDA                 ";"MACHUPICHU                                        ";"NUM";"000024";"  ";"7091801VK4779A0107WA";28043;446921.6;4478895.5;"1";"Puerta Calle";"1";"Abierto";30;;"1";"06";;;"LA GATA DE ORGAZ";"1";"Anual";"1";"Abierta";30.40;30.40;"2017-01-23 13:53:56.1";"20065602";1;859;"AVENIDA                 ";"MACHUPICHU                                        ";"NUM";"000024";"  ";"Acera";"10:00:00";"01:00:00";"10:00:00";"00:00:00";"10:00:00";"02:30:00";"10:00:00";"00:00:00";0;0;13;13;39;39;0;0;"false";"false";;;;;;1;"Suelo publico";0;0;0;0;0;0;"false";0;0;0;0;0;0;"false";"false";"false";"false";1;0;0;0;0;"false";"false";"false";1;0;0;0;0;0;0;0;0;0;"false";0;0;0;0;0;"false";0;0;0;0;"2025-04-25 03:30:58.775215"
