id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,nombre,valoracion,bedrooms,beds,baths
761332347098702774,Serviced apartment in Sevilla · 1 bedroom · 2 beds · 1 bath,487828735,NQn Apartments,Casco Antiguo,Alfalfa,37.3923839620053,-5.994693225794987,Entire home/apt,245.0,1,2,2023-03-05,0.18,7,323,2,CTC2022257575,Serviced apartment in Sevilla,,1,2,1
565693029586267646,Rental unit in Sevilla · 4.75 · 1 bedroom · 1 bed · 1 bath,445792520,Sergio,Casco Antiguo,Feria,37.39916,-5.99152,Entire home/apt,106.0,1,63,2023-11-30,2.84,1,352,31,VFT/SE/07784,Rental unit in Sevilla,4.75,1,1,1
933097581194652560,Hotel in Sevilla · 1 bedroom · 1 bed · 1.5 baths,524799385,Uma Suites,Casco Antiguo,Museo,37.39208134631081,-6.00179751143875,Private room,255.0,1,1,2023-08-26,0.24,4,330,1,H/SE/01293,Hotel in Sevilla,,1,1,1.5
52124788,Rental unit in Sevilla · 4.73 · 2 bedrooms · 4 beds · 1 bath,76676798,José María,Casco Antiguo,Arenal,37.3889,-5.99826,Entire home/apt,119.0,2,52,2023-12-10,1.88,3,64,12,FT/SE/01963,Rental unit in Sevilla,4.73,2,4,1
593411835766329958,Rental unit in Sevilla · 2 bedrooms · 4 beds · 1 bath,105842350,Hispalis Home,Casco Antiguo,San Julián,37.39530944824219,-5.985986232757568,Entire home/apt,234.0,3,1,2022-04-23,0.05,30,163,0,VFT/SE/08816,Rental unit in Sevilla,,2,4,1
40577304,Condo in Sevilla · 4.73 · 1 bedroom · 1 bed · 1 bath,312850432,Jaime,Casco Antiguo,Santa Catalina,37.39147,-5.98702,Entire home/apt,81.0,2,141,2023-12-28,3.36,1,0,46,CTC-2020007121,Condo in Sevilla,4.73,1,1,1
50302776,Rental unit in Sevilla · 4.63 · 3 bedrooms · 4 beds · 2 baths,129000409,Olala Homes,Macarena,"Doctor Barraquer, G. Renfe, Policlínico",37.40317,-5.98879,Entire home/apt,353.0,1,38,2023-11-10,1.36,7,358,11,VFT-SE-08082,Rental unit in Sevilla,4.63,3,4,2
964429131952022635,Rental unit in Sevilla · 5.0 · 3 bedrooms · 4 beds · 1.5 baths,128131027,Luis Jose,Casco Antiguo,Feria,37.3967205,-5.9941499,Entire home/apt,93.0,2,8,2023-12-27,3.12,1,82,8,VFT/SE/10543,Rental unit in Sevilla,5.0,3,4,1.5
42709401,Rental unit in Seville · 4.75 · 1 bedroom · 1 bed · 1.5 baths,14958822,Nacho,Casco Antiguo,San Bartolomé,37.38783,-5.98609,Entire home/apt,146.0,2,44,2023-08-11,0.95,161,215,3,VTF/SE/07458,Rental unit in Seville,4.75,1,1,1.5
757255290721315617,Rental unit in Sevilla · 5.0 · 3 bedrooms · 8 beds · 1 bath,76266552,Carmen,Cerro - Amate,El Cerro,37.37547302518987,-5.955820307135582,Entire home/apt,96.0,1,4,2023-03-05,0.3,8,86,1,Exempt,Rental unit in Sevilla,5.0,3,8,1
1032019518069165242,Hotel in Sevilla · New · 1 bedroom · 2 beds · 1 bath,3908345,Alfredo,San Pablo - Santa Justa,Arbol Gordo,37.40088854777616,-5.972189526097736,Private room,45.0,1,2,2023-12-10,2.0,4,258,2,CTC-2018201439,Hotel in Sevilla,,,1,2
815746878816607846,Rental unit in Sevilla · 1 bedroom · 1 bed · 1 shared bath,498674226,Abraham,Casco Antiguo,Santa Cruz,37.38672,-5.991,Private room,60.0,1,2,2023-04-16,0.18,1,329,2,Exempt,Rental unit in Sevilla,,1,1,1
33385487,Home in Sevilla · 4.74 · 1 bedroom · 2 beds · 1 shared bath,240240220,Marieta,Casco Antiguo,"Encarnación, Regina",37.39348,-5.98854,Private room,50.0,1,340,2023-12-24,5.94,6,112,84,CTC-2019051790,Home in Sevilla,4.74,1,2,1
554064015008352914,Rental unit in Sevilla · 5.0 · 2 bedrooms · 3 beds · 1 bath,440415226,Sacha,Triana,Triana Oeste,37.38448,-6.0068,Entire home/apt,205.0,2,9,2023-11-15,0.39,6,50,6,VFT/SE/07857,Rental unit in Sevilla,5.0,2,3,1
33503494,Rental unit in Sevilla · 4.73 · 1 bedroom · 1 bed · 1 bath,123493257,Magno Apartments,Casco Antiguo,San Bartolomé,37.3911,-5.9865,Entire home/apt,160.0,1,55,2022-04-22,0.95,25,134,0,VFT/SE/02548,Rental unit in Sevilla,4.73,1,1,1
833149012934675687,Rental unit in Sevilla · 4.94 · 2 bedrooms · 3 beds · 1 bath,113546787,Fran Y Manuela,Triana,Triana Casco Antiguo,37.3875996,-6.0066333,Entire home/apt,191.0,1,17,2023-12-08,1.69,29,344,17,VFT/SE/01106,Rental unit in Sevilla,4.94,2,3,1
51218948,Condo in Sevilla · 4.79 · 3 bedrooms · 4 beds · 1 bath,414628556,Juan Ignacio,Sur,"El Juncal, Híspalis",37.37257,-5.96477,Entire home/apt,50.0,1,19,2023-09-01,0.65,3,73,10,CTC-2021165437,Condo in Sevilla,4.79,3,4,1
922939976857927339,Rental unit in Sevilla · 4.60 · 1 bedroom · 1 bed · 1 bath,423182540,TheGoodTourist,Sur,Giralda Sur,37.37609,-5.97687,Entire home/apt,66.0,2,5,2023-11-26,1.18,15,154,5,VFT/SE/06989,Rental unit in Sevilla,4.60,1,1,1
617671080360094139,Rental unit in Sevilla · 4.89 · 1 bedroom · 2 beds · 1 bath,13408562,Didier,Casco Antiguo,San Gil,37.40093,-5.98581,Entire home/apt,89.0,3,28,2023-12-26,1.43,4,343,22,VFT/SE/06055,Rental unit in Sevilla,4.89,1,2,1
41815284,Rental unit in Sevilla · 2 bedrooms · 2 beds · 1.5 baths,104691530,Ignacio,Triana,Triana Este,37.37976,-6.00111,Entire home/apt,144.0,2,1,2022-02-20,0.04,1,192,0,VTF/SE/06535,Rental unit in Sevilla,,2,2,1.5
38379567,Rental unit in Sevilla · 4.84 · 3 bedrooms · 5 beds · 2 baths,7222663,María Valme,Casco Antiguo,"Encarnación, Regina",37.39358,-5.99445,Entire home/apt,297.0,1,97,2023-12-03,1.86,16,172,16,VFT/SE/06223,Rental unit in Sevilla,4.84,3,5,2
4993747,Rental unit in Sevilla · 4.55 · 1 bedroom · 1 bed · 1 bath,25745734,Monserrat,Casco Antiguo,San Julián,37.39744,-5.98465,Entire home/apt,73.0,2,66,2023-12-17,0.63,1,337,26,CTC-2019048907,Rental unit in Sevilla,4.55,1,1,1
