id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
886193288223349085,Habitación privada URJC Madrid,236831755,Gonzalo,Vicálvaro,Casco Histórico de Vicálvaro,40.401832905965236,-3.602183473966887,Private room,26,7,3,2024-03-15,0.17,3,316,2,
886211501515274460,Bellissimo appartamento a 500m del Prado,354008064,Riccardo,Centro,Cortes,40.414260466884016,-3.698333900111688,Entire home/apt,110,29,31,2024-11-30,1.60,1,58,9,
886218773441153379,The Luxe Apartament Salamanca,63950168,Matias,Salamanca,Castellana,40.43673731112678,-3.6819253116846085,Entire home/apt,191,3,4,2024-11-03,1.62,1,357,4,
886228761647644474,Habitación doble Campus URJC Madrid,236831755,Gonzalo,Vicálvaro,Casco Histórico de Vicálvaro,40.402006848310045,-3.60194129776232,Private room,48,10,0,,,3,314,0,
886265954432151102,Plaza Mayor Madrid,511376102,Julie,Centro,Sol,40.414008,-3.707377,Entire home/apt,125,1,92,2024-11-26,5.29,2,29,78,
886301911598106045,Habitación en entorno perfecto,390763453,Celia,Moncloa - Aravaca,Argüelles,40.43364841979148,-3.7179908948767384,Private room,,2,15,2023-12-10,0.78,1,0,0,
886632421027180443,Habitación con baño privado Madrid,14987117,Heydi,Usera,Orcasur,40.367451049912404,-3.6964212696008865,Private room,49,1,21,2024-07-22,1.12,1,41,8,
886669177739068076,"Céntrico+nuevo APT,100% equipado",252506687,Pablo,Centro,Embajadores,40.4094836,-3.6980444,Entire home/apt,157,2,32,2024-03-02,1.66,1,104,5,
886677990963675928,M108 - Apartment in Avenida de Asturias,471977881,Rodrigo,Tetuán,Almenara,40.47097,-3.69883,Entire home/apt,74,30,0,,,124,165,0,
886682235824983049,Habitación con garaje Vistalegre 2,173725357,Violeta,Carabanchel,Vista Alegre,40.38586,-3.74252,Private room,50,1,8,2024-09-20,0.42,3,313,4,
886697187304521206,Stylish & Spacious -2Bedrooms 2Bathrooms-Salamanca,513709282,Sofia,Salamanca,Recoletos,40.42722040581748,-3.687093573993289,Entire home/apt,219,1,66,2024-11-18,3.42,1,82,42,
886706323947471262,Chalet independiente centro Madrid,72464837,Jose Luis,Chamartín,Ciudad Jardín,40.4517004,-3.6726135,Entire home/apt,680,4,2,2024-07-14,0.14,2,359,1,
886709320699012321,Comfortable & well located flat,458695995,Jhon,San Blas - Canillejas,Amposta,40.42766,-3.62128,Entire home/apt,94,2,76,2024-12-07,3.97,1,333,41,
886757159386529029,Espectacular habitación con baño privado,121214247,Juan Esteban,Arganzuela,Acacias,40.39784,-3.70328,Private room,67,2,75,2024-11-23,4.25,1,53,55,
886760129410385295,"Estudio, en linea 1 de Metro.",16803425,Juan José,Villa de Vallecas,Casco Histórico de Vallecas,40.35853,-3.58975,Entire home/apt,59,29,15,2024-10-30,0.81,1,99,6,
886803756963656075,Maravilloso piso en zona Cuzco con 2 habitaciones!,438136382,Home Club,Tetuán,Castillejos,40.4605048,-3.694754,Entire home/apt,123,1,2,2024-09-21,0.36,320,7,2,
886838944679434898,General Margallo XVII,438136382,Home Club,Tetuán,Castillejos,40.4605048,-3.694754,Entire home/apt,114,30,0,,,320,62,0,
886887314906673871,Stylish Apartment next to SOL,493342316,Philipp,Centro,Embajadores,40.412816139859004,-3.704348684051166,Entire home/apt,71,31,4,2024-07-07,0.27,13,250,2,
886901438227479248,Habitación Doble Alta con Sofá,502461312,Pacorooms,Centro,Universidad,40.4215824,-3.7026425,Private room,130,1,11,2024-07-28,0.58,5,27,4,
886931747230403941,Couple’s getaway apartment WI-FI,413279382,Ksenia,Centro,Embajadores,40.4089281,-3.7008805,Entire home/apt,161,2,44,2024-11-11,2.28,1,54,21,
886934939610289278,Bright apartment in Gran Vía with balconies,291253690,Francisco Andres,Centro,Justicia,40.42140864376642,-3.6985580234100897,Entire home/apt,117,1,57,2024-11-29,2.96,328,300,34,
886985804410591196,cozy flat 15 min from centre,56871928,Joey,Puente de Vallecas,Palomeras Bajas,40.38851,-3.65917,Private room,46,1,5,2024-05-18,0.42,2,365,5,
886995245167048526,"Rastro Madrid, Alquiler Temporal",168941968,David,Centro,Embajadores,40.40752085551855,-3.7068621535683346,Entire home/apt,97,10,64,2024-11-24,3.58,7,76,40,
887000192943998467,El viajero,512637840,Aníbal,Tetuán,Almenara,40.470282870257364,-3.6918816715478897,Private room,36,1,19,2024-09-26,0.99,1,314,4,
887021944153061457,"Apartamento, luminoso y céntrico",89169550,Hugo,Carabanchel,San Isidro,40.39426135453397,-3.723210323711103,Entire home/apt,320,1,11,2024-07-29,0.66,3,364,6,
887120231398812211,Little Malasaña en Madrid,116370398,Florencia,Centro,Universidad,40.4215824,-3.7026425,Entire home/apt,138,2,44,2024-12-09,2.97,1,52,31,
887363218625392752,San Bernardo V - Darya Living,511060541,Pablo,Centro,Universidad,40.42763797157722,-3.7050588544535685,Entire home/apt,218,30,22,2024-12-02,1.21,11,76,17,
